George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Eugenio_Derbez                | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Megawati_Sukarnoputri         | incorrect 
George_W_Bush                 | Ryan_Gosling                  | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Emma_Watson                   | incorrect 
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Mahmoud_Abbas                 | incorrect 
Ryan_Gosling                  | Uzmar_Gomez                   | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Will_Smith                    | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Ariel_Sharon                  | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Megawati_Sukarnoputri         | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Ryan_Gosling                  | incorrect 
Serena_Williams               | * NOT IN DB *                 | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | * NOT IN DB *                 | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Morgan_Freeman                | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | Ricardo_Lagos                 | incorrect 
Kofi_Annan                    | Alejandro_Toledo              | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Kofi_Annan                    | Eugenio_Derbez                | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Kofi_Annan                    | Chris_Hemsworth               | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Ariel_Sharon                  | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Hans_Blix                     | Will_Smith                    | incorrect 
Hans_Blix                     | Kofi_Annan                    | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Ryan_Gosling                  | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Ryan_Gosling                  | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Chris_Evans                   | incorrect 
Hans_Blix                     | Ricardo_Lagos                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Jennifer_Aniston              | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Eugenio_Derbez                | incorrect 
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Chris_Hemsworth               | * NOT IN DB *                 | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Chris_Hemsworth               | Scarlett_Johansson            | incorrect 
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Eugenio_Derbez                | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Chris_Hemsworth               | Denzel_Washington             | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Roh_Moo-hyun                  | incorrect 
Jennifer_Aniston              | Mahmoud_Abbas                 | incorrect 
Jennifer_Aniston              | Kofi_Annan                    | incorrect 
Jennifer_Aniston              | Eugenio_Derbez                | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Megawati_Sukarnoputri         | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Emma_Watson                   | incorrect 
Jennifer_Aniston              | Scarlett_Johansson            | incorrect 
Jennifer_Aniston              | Will_Smith                    | incorrect 
Scarlett_Johansson            | Salma_Hayek                   | incorrect 
Scarlett_Johansson            | Scarlett_Johansson            | correct   
Scarlett_Johansson            | * NOT IN DB *                 | incorrect 
Scarlett_Johansson            | Morgan_Freeman                | incorrect 
Scarlett_Johansson            | Emma_Watson                   | incorrect 
Scarlett_Johansson            | * NOT IN DB *                 | incorrect 
Scarlett_Johansson            | Serena_Williams               | incorrect 
Scarlett_Johansson            | * NOT IN DB *                 | incorrect 
Uzmar_Gomez                   | Uzmar_Gomez                   | correct   
Uzmar_Gomez                   | Uzmar_Gomez                   | correct   
Daniel_Radcliffe              | Will_Smith                    | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Guillermo_Coria               | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Chris_Hemsworth               | incorrect 
Daniel_Radcliffe              | Uzmar_Gomez                   | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Ariel_Sharon                  | Will_Smith                    | incorrect 
Ariel_Sharon                  | Ricardo_Lagos                 | incorrect 
Ariel_Sharon                  | George_W_Bush                 | incorrect 
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
Ariel_Sharon                  | Ricardo_Lagos                 | incorrect 
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
