George_W_Bush                 | Emma_Watson                   | incorrect 
George_W_Bush                 | Eugenio_Derbez                | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ariel_Sharon                  | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ryan_Gosling                  | incorrect 
George_W_Bush                 | Kofi_Annan                    | incorrect 
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Mahmoud_Abbas                 | incorrect 
Ryan_Gosling                  | Ricardo_Lagos                 | incorrect 
Ryan_Gosling                  | Guillermo_Coria               | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Roh_Moo-hyun                  | incorrect 
Ryan_Gosling                  | Will_Smith                    | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Emma_Watson                   | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Mahmoud_Abbas                 | incorrect 
Serena_Williams               | Jennifer_Aniston              | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | * NOT IN DB *                 | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Hans_Blix                     | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Ricardo_Lagos                 | incorrect 
Kofi_Annan                    | Guillermo_Coria               | incorrect 
Kofi_Annan                    | Will_Smith                    | incorrect 
Kofi_Annan                    | Ricardo_Lagos                 | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Hans_Blix                     | Will_Smith                    | incorrect 
Hans_Blix                     | Kofi_Annan                    | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Ryan_Gosling                  | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Ricardo_Lagos                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Jennifer_Aniston              | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Daniel_Radcliffe              | incorrect 
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Serena_Williams               | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Chris_Hemsworth               | Will_Smith                    | incorrect 
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | * NOT IN DB *                 | incorrect 
Chris_Hemsworth               | Daniel_Radcliffe              | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Kofi_Annan                    | incorrect 
Jennifer_Aniston              | Roh_Moo-hyun                  | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | George_W_Bush                 | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Salma_Hayek                   | incorrect 
Jennifer_Aniston              | Ricardo_Lagos                 | incorrect 
Jennifer_Aniston              | Will_Smith                    | incorrect 
Scarlett_Johansson            | Salma_Hayek                   | incorrect 
Scarlett_Johansson            | Scarlett_Johansson            | correct   
Scarlett_Johansson            | * NOT IN DB *                 | incorrect 
Scarlett_Johansson            | Daniel_Radcliffe              | incorrect 
Scarlett_Johansson            | Jennifer_Aniston              | incorrect 
Scarlett_Johansson            | Chris_Evans                   | incorrect 
Scarlett_Johansson            | Serena_Williams               | incorrect 
Scarlett_Johansson            | Jennifer_Aniston              | incorrect 
Uzmar_Gomez                   | Uzmar_Gomez                   | correct   
Uzmar_Gomez                   | Uzmar_Gomez                   | correct   
Daniel_Radcliffe              | Eugenio_Derbez                | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Guillermo_Coria               | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | Will_Smith                    | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Daniel_Radcliffe              | * NOT IN DB *                 | incorrect 
Daniel_Radcliffe              | Eugenio_Derbez                | incorrect 
Daniel_Radcliffe              | Daniel_Radcliffe              | correct   
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
Ariel_Sharon                  | Ricardo_Lagos                 | incorrect 
Ariel_Sharon                  | George_W_Bush                 | incorrect 
Ariel_Sharon                  | Alejandro_Toledo              | incorrect 
Ariel_Sharon                  | Ariel_Sharon                  | correct   
Ariel_Sharon                  | Kofi_Annan                    | incorrect 
Ariel_Sharon                  | Ricardo_Lagos                 | incorrect 
