George_W_Bush                 | Eugenio_Derbez                | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | Kofi_Annan                    | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ariel_Sharon                  | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Roh_Moo-hyun                  | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | Alejandro_Toledo              | incorrect 
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | Daniel_Radcliffe              | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Megawati_Sukarnoputri         | incorrect 
Chris_Evans                   | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Eugenio_Derbez                | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Megawati_Sukarnoputri         | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Serena_Williams               | Will_Smith                    | incorrect 
Serena_Williams               | Roh_Moo-hyun                  | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | * NOT IN DB *                 | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Uzmar_Gomez                   | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Morgan_Freeman                | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | Serena_Williams               | incorrect 
Kofi_Annan                    | Alejandro_Toledo              | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Eugenio_Derbez                | incorrect 
Kofi_Annan                    | Ariel_Sharon                  | incorrect 
Kofi_Annan                    | Will_Smith                    | incorrect 
Kofi_Annan                    | Morgan_Freeman                | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | Chris_Evans                   | incorrect 
Kofi_Annan                    | Guillermo_Coria               | incorrect 
Hans_Blix                     | Ryan_Gosling                  | incorrect 
Hans_Blix                     | Mahmoud_Abbas                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Eugenio_Derbez                | incorrect 
Hans_Blix                     | Kofi_Annan                    | incorrect 
Hans_Blix                     | Mahmoud_Abbas                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Scarlett_Johansson            | incorrect 
Hans_Blix                     | Serena_Williams               | incorrect 
Hans_Blix                     | Chris_Evans                   | incorrect 
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Jennifer_Aniston              | incorrect 
Hans_Blix                     | Ariel_Sharon                  | incorrect 
Salma_Hayek                   | Emma_Watson                   | incorrect 
Salma_Hayek                   | Jennifer_Aniston              | incorrect 
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Megawati_Sukarnoputri         | incorrect 
Chris_Hemsworth               | * NOT IN DB *                 | incorrect 
Chris_Hemsworth               | Denzel_Washington             | incorrect 
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Hans_Blix                     | incorrect 
Chris_Hemsworth               | Daniel_Radcliffe              | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Chris_Hemsworth               | Chris_Evans                   | incorrect 
Jennifer_Aniston              | * NOT IN DB *                 | incorrect 
Jennifer_Aniston              | Emma_Watson                   | incorrect 
Jennifer_Aniston              | Roh_Moo-hyun                  | incorrect 
